                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   1
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
01092 YELAMBGHAT                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01093 POHREGAON                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01094 MURUD (SATARA)                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01095 KAUDGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01096 DHOREGAON                                0.00                0.00                0.00            1200028.00-             0.00                0.00                0.00
01097 RAISINGPUR (KORAI)                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01098 KOSAMTONDI                               0.00             9539.27                0.00                896.99-             0.00                0.00                0.00
01099 MALWADGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01100 BANGALORE SERVICE BRANCH                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01101 NERE                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01102 SHIVAL (TULAI)                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01103 KHAIRAGARH (SAHASPUR DALLI)              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01104 AKHEGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01105 MALEGAON MAKTA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01106 NAVALI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01107 WARUL                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01108 BHAMRAGAD                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01109 BENIKHEDA (TIMRI)                        0.00                0.00                0.00                  2.00-             0.00                0.00                0.00
01110 KARLA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  23
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
01111 VADESHWAR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01112 MUMBAI LOKHANDWALA COMPLX                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01113 DEHANE                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01114 SAIWAN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01115 AGASHI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01116 MADH                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01117 AMBAVADE                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01118 WINZAR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01119 PANDHARKAWADA  CHANDRAPUR                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01120 PERIMILI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01121 PUNE BALEWADI                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01122 AKKALKUWA                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01123 PARGAON                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01124 PUNE NIBM KONDHWE                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01125 KOLKATA  SERVICE BRANCH                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01126 RAJAHMUNDRY                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01127 MAJREWADI                             1642.00                0.00                0.00                  0.00              0.00                0.00                0.00
01128 TWIN SOLAPUR                           203.00                0.00                0.00                  0.00              0.00            13472.00                0.00
01129 HOUSING FINANCE BRANCH (HFLB)            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01130 KOLHAPUR SALOKHENAGAR                    0.00                0.00                0.00              29528.00-             0.00                0.00                0.00
01131 PALIMETA                                 0.00                0.00                0.00                 50.00-             0.00                0.00                0.00
01132 PUNE YAMUNANAGAR NIGDI                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01133 LATUR VIVEKANAND CHOWK                 862.00                0.00                0.00                  0.00              0.00                0.00                0.00
01134 UMERGA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01135 JABALPUR SANJIVININAGAR                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01136 UMARASARA                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01137 HYDERABAD SERVICE BRANCH                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01138 HYDERABAD CHAMPAPET                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01139 WADGAON--CHANDRAPUR                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01140 PUNE SSI BRANCH                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01141 NAGPUR NARENDRANAGAR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01142 PUNE HI-TECH AGRI BRANCH                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01143 NASIK AGRI HI-TECH                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01144 PUNE OVERSEAS BRANCH                     0.00                0.00                0.00               6000.00              0.00                0.00                0.00
01146 CORPORATE FINANCE BRANCH                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01147 BANGALORE SSI BRANCH                     0.00                0.00                0.00                114.00              0.00                0.00                0.00
01148 HYDERABAD AGRI HI-TECH                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01149 MUMBAI CHARKOP KANDIVLI (WEST)           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01150 PUNE MAIN                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01151 CHAKAN                                   0.00                0.00                0.00                  0.01-             0.00                0.00                0.00
01152 NASIK SERVICE BRANCH                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01153 AHMEDABAD SERVICE BRANCH                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01154 VADGAON MAVAL                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01155 BANGALORE J P NAGAR                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01156 AKOLA DAPKI ROAD                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01157 WARUD                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01158 TALEGAON DABHADE                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01159 VADGAON BUDRUK (PUNE)                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01160 NEWDELHI UPSC                         9600.00                0.00                0.00             183600.00              0.00                0.00                0.00
01161 JALGAON COLLEGE CAMPUS                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  24
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
01162 BHILAI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01163 PONDA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01164 ANANDNAGAR                               0.00                0.00                0.00                985.00              0.00                0.00                0.00
01165 NAGPUR KARVE NAGAR                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01166 MUMBAI ADARSHNAGAR WORLI                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01167 CHENNAI SHENOY NAGAR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01168 SATNA                                    0.00              600.00                0.00                  0.00              0.00                0.00                0.00
01169 BYTCO COLLEGE NASIK RD.                  0.00                0.00                0.00                118.00              0.00                0.00                0.00
01170 SAINAGAR AMARAVATI                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01171 ATPADI, DIST -SANGLI                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01172 TIRUPATHI DIST :CHITTOOR                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01173 KHED, DIST-RATNAGIRI                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01174 SSPM SHIVAJINAGAR BARSHI                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01175 KUKATPALLY (A.P.)                        0.00                0.00                0.00                800.00              0.00                0.00                0.00
01176 HARINAGAR, VADODARA                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01177 SHIRDI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01178 SHREEKRISHNAGAR,BORIVLI E                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01179 ARVINDNAGAR, HUBLI                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01180 NASIK INDIRANAGAR                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01181 KOLKATA  SALT LAKE                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01182 BHUBANESHWAR                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01183 GOLAKA MANDIR, GWALIOR                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01184 NAMAKKAL                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01185 VITA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01186 INDORE ANNAPURNA ROAD                    0.00                0.00                0.00              22757.00-             0.00                0.00                0.00
01187 THAKUR VILLAGE,KANDIVALI                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01188 NEWDELHI JANAKPURI                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01189 GURGAON                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01190 INDORE PALASIA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01191 T.V.CENTER,HUDCO                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01192 GOA PORVORIM                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01193 PHAGWARA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01194 PANCHKULA                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01195 NAGPUR NMC                           32000.00             6652.00                0.00                264.31-             0.00                0.00                0.00
01196 SAWARKAR CHOWK                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01197 TUMKUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01198 SIVKASI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01199 KOTTAYAM                                 0.00                0.00                0.00               5600.00              0.00                0.00           633759.00 
01200 AKOLA SHIVAJI COLLEGE                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01201 NOIDA SECTOR 19                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01202 JUNAGADH                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01203 HISSAR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01204 CHENNAI MYLAPORE                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01205 CHENNAI NEELANGARAI                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01206 CHENNAI VALMIKINAGAR                  3150.00                0.00                0.00                  0.00              0.00                0.00                0.00
01207 MUMBAI OSHIWARA                          0.00                0.00                0.00                  0.25-             0.00                0.00                0.00
01208 PUNE BHUSARI COLONY                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01209 BHAYANDER(EAST)                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01210 PUNE LULLANAGAR                          0.00                0.00                0.00                708.00              0.00                0.00                0.00
01211 AURANGABAD SERVICE BRANCH                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  25
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
01212 GOKUL ROAD HUBLI                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01213 PATIALA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01214 PERSONAL BANKING BRANCH                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01215 KUWARBAV                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01216 THANE MUNICIPAL CORP.                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01217 JALGAON GANAPATINAGAR                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01218 CHENNAI SERVICE BRANCH                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01219 KOLHAPUR TARARANI VIDYAPT                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01220 SHRIRAMPUR DASHMESHNAGAR                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01221 SOLAPUR CIVIL HOSPITAL                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01222 KANNAMWARNAGAR,VIKHROLI (E), MUMB        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01223 KALYANINAGAR PUNE                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01224 INDORE VIJAYNAGAR                        0.00              339.00                0.00              50000.00              0.00                0.00                0.00
01225 BHOPAL ARERA COLONY                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01226 GWALIOR CITY CENTRE                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01227 THIRUVALLA                               0.00                0.00                0.00               3065.00-             0.00                0.00                0.50 
01228 NANDED SARAFA HOLI                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01229 CUTTACK                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01230 BAJRANG CHOWK                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01231 AJMER                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01232 WEST BENGAL HOUSING BOARD                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01233 RANCHI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01234 SIMLA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01235 WATAD KHANDALA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01236 SERVICE BRANCH, SOLAPUR                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01237 GOMTI NAGAR, LUCKNOW                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01238 ROHINI  DELHI                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01239 PASCHIM VIHAR DELHI                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01240 JAMMU                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01241 JAMSHEDPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01242 NAVANSHAHR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01243 MALVIYA NAGAR, JAIPUR                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01244 DELHI DWARKA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01245 MOHALI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01246 SILIGURI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01247 BAPROLA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01248 THRISSUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01249 LUCKNOW ALIGANJ                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01250 NEW DELHI PUSHPANJALI ENCLAVE            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01251 MUZAFFARPUR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01252 BARASAT                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01253 HOWRAH                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01254 MAHALAXMI, MUMBAI                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01255 BAHADURGARH HARYANA                      0.00              175.00                0.00                  0.00              0.00                0.00                0.00
01256 ROHTAK ,HARYANA                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01257 MAYUR VIHAR ,DELHI                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01258 DAYANAND VIHAR DELHI                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01259 SARASWATI BHUVAN COLONY AURANGA          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01260 STN.RD,CHHA SAMBHAJINAGAR                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01261 BALBHARTI BR S B RD PUNE                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  26
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
01262 GORAKHPUR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01263 UDUPI                                    0.00                0.00                0.00                 35.00              0.00                0.00                0.00
01264 NAGERCOIL                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01265 BHATINDA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01266 E.C.I.L. ROAD, KAPRA, HYDERABAD          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01267 MADHAV MAHAVIDYALAYA, GWALIOR            0.00                0.00                0.00                  1.00              0.00                0.00                0.00
01268 MANDIGOBINDGARH                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01269 RAJA BAZAR, PATNA                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01270 BORING ROAD, PATNA                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01271 GOA HOUSING BOARD,GOGAL,MADGAON,G        0.00                0.00                0.00                200.00              0.00                0.00                0.00
01272 BIDHANNAGAR, KOLKATTA                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01273 ERODE                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01274 DAYAL BAGH COLONY, FARIDABAD             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01275 GUWAHATI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01276 KHARGHAR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01277 ALIGARH                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01278 AMEENABAD, LUCKNOW                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01279 CHOWK, LUCKNOW                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01280 DR.D.Y.PATIL COLLEGE OF ENGG.PUNE        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01281 VIKASNAGAR,LUCKNOW                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01282 JAIHIND COLLEGE CAMPUS,DEOPUR DHU        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01283 AIROLI,NEW MUMBAI                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01284 R.P.GOGATE COLLEGE BRANCH,RATNAGI        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01285 PEOPLE'S COLLEGE CAMPUS BR.NANDED        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01286 ADAJAN,SURAT                             0.00                0.00                0.00               3326.00              0.00                0.00                0.00
01287 PANTNAGAR,GHATKOPAR (EAST) MUMBAI        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01288 ROOPNAGAR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01289 KHANNA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01290 SIGRA VARANASI                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01291 CIVIL LINES ALLAHABAD                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01292 RAMRAOADIK COLLEGE OF ENGINEERING        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01293 HAPUR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01294 GREATER NOIDAU                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01295 SUSHANT LOK,GURGAON                      0.00                0.00                0.00                 21.40-             0.00                0.00                0.00
01296 SECTOR - 45, CHANDIGARH                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01297 MOGA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01298 KALYAN-MURBAD,BYPASS,KHADAKPADA          0.00                0.00                0.00                 72.00-             0.00                0.00                0.00
01299 BEHALA, SAKHER BAZAR, KOLKATA            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01300 RUBY PARK,E.M.BY-PASS KOLKATA            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01301 I.C.COLONY BORIVALI (WEST) MUMBAI        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01302 GHODBUNDER ROAD THANE                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01303 JADAVPUR KOLKATA                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01304 SHRINAGAR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01305 GARIA, KOLKATA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01306 DWARKA (WEST) , NEW DELHIDE              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01307 GANDHIDHAM                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01308 PALAM VIHAR, GURGAON                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01309 YAMUNANAGAR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01310 HARIDWAR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01311 BURDWAN                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  27
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
01312 DHANBAD                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
